index,date,urls
0,,/fr/triplex~a-vendre~saint-jean-sur-richelieu/23252426?view=Summary
1,,/fr/triplex~a-vendre~laval-laval-ouest/21765823?view=Summary
2,,/fr/duplex~a-vendre~chateauguay/18912376?view=Summary
3,,/fr/quadruplex~a-vendre~lachute/25066668?view=Summary
4,,/fr/duplex~a-vendre~montreal-ahuntsic-cartierville/15871489?view=Summary
5,,/fr/quadruplex~a-vendre~mont-laurier/12749691?view=Summary
6,,/fr/quadruplex~a-vendre~saint-jean-sur-richelieu/20577630?view=Summary
7,,/fr/triplex~a-vendre~longueuil-le-vieux-longueuil/21039845?view=Summary
8,,/fr/triplex~a-vendre~salaberry-de-valleyfield/15873258?view=Summary
9,,/fr/duplex~a-vendre~shawinigan/22762825?view=Summary
10,,/fr/duplex~a-vendre~saguenay-chicoutimi/10962442?view=Summary
11,,/fr/duplex~a-vendre~mont-joli/23126605?view=Summary
12,,/fr/triplex~a-vendre~rimouski/27729558?view=Summary
13,,/fr/quadruplex~a-vendre~montreal-rosemont-la-petite-patrie/28341107?view=Summary
14,,/fr/duplex~a-vendre~trois-rivieres/16268019?view=Summary
15,,/fr/duplex~a-vendre~val-d-or/14875605?view=Summary
16,,/fr/duplex~a-vendre~quebec-la-haute-saint-charles/22902758?view=Summary
17,,/fr/triplex~a-vendre~saint-antoine-de-tilly/18688927?view=Summary
18,,/fr/quadruplex~a-vendre~montreal-ville-marie/12778651?view=Summary
19,,/fr/triplex~a-vendre~acton-vale/24555052?view=Summary
20,,/fr/quintuplex~a-vendre~montreal-montreal-nord/14404531?view=Summary
21,,/fr/duplex~a-vendre~la-malbaie/16190726?view=Summary
22,,/fr/quadruplex~a-vendre~laval-saint-vincent-de-paul/15611193?view=Summary
23,,/fr/quadruplex~a-vendre~chambly/12468455?view=Summary
24,,/fr/quintuplex~a-vendre~granby/16506991?view=Summary
25,,/fr/quadruplex~a-vendre~sainte-catherine-de-la-jacques-cartier/22631606?view=Summary
26,,/fr/triplex~a-vendre~sainte-adele/16310260?view=Summary
27,,/fr/duplex~a-vendre~sainte-anne-des-monts/11529363?view=Summary
28,,/fr/duplex~a-vendre~quebec-beauport/26814787?view=Summary
29,,/fr/duplex~a-vendre~longueuil-saint-hubert/15770288?view=Summary
30,,/fr/duplex~a-vendre~gatineau-buckingham/22867625?view=Summary
31,,/fr/triplex~a-vendre~montreal-villeray-saint-michel-parc-extension/22310686?view=Summary
32,,/fr/duplex~a-vendre~gatineau-buckingham/11589679?view=Summary
33,,/fr/duplex~a-vendre~saguenay-jonquiere/13420909?view=Summary
34,,/fr/quadruplex~a-vendre~la-tuque/13356660?view=Summary
35,,/fr/triplex~a-vendre~saguenay-jonquiere/21631102?view=Summary
36,,/fr/triplex~a-vendre~quebec-beauport/20831540?view=Summary
37,,/fr/duplex~a-vendre~montreal-montreal-nord/22053920?view=Summary
38,,/fr/duplex~a-vendre~saguenay-la-baie/12988566?view=Summary
39,,/fr/duplex~a-vendre~blainville/19797760?view=Summary
40,,/fr/duplex~a-vendre~montreal-lasalle/11465745?view=Summary
41,,/fr/duplex~a-vendre~saint-hyacinthe/16956994?view=Summary
42,,/fr/triplex~a-vendre~saguenay-chicoutimi/18373924?view=Summary
43,,/fr/duplex~a-vendre~saint-martin/25645797?view=Summary
44,,/fr/duplex~a-vendre~laurier-station/13592012?view=Summary
45,,/fr/quintuplex~a-vendre~newport/24444355?view=Summary
46,,/fr/duplex~a-vendre~gatineau-gatineau/25209371?view=Summary
47,,/fr/quadruplex~a-vendre~gatineau-aylmer/16191070?view=Summary
48,,/fr/quadruplex~a-vendre~bedford-ville/10716903?view=Summary
49,,/fr/duplex~a-vendre~montreal-mercier-hochelaga-maisonneuve/25993154?view=Summary
50,,/fr/duplex~a-vendre~repentigny-repentigny/15231020?view=Summary
51,,/fr/quadruplex~a-vendre~sainte-elisabeth/15283270?view=Summary
52,,/fr/duplex~a-vendre~salaberry-de-valleyfield/9197416?view=Summary
53,,/fr/duplex~a-vendre~piedmont/27947071?view=Summary
54,,/fr/duplex~a-vendre~sherbrooke-brompton-rock-forest-saint-elie-deauville/23321052?view=Summary
55,,/fr/duplex~a-vendre~saint-constant/18169552?view=Summary
56,,/fr/quadruplex~a-vendre~montreal-le-sud-ouest/26547970?view=Summary
57,,/fr/duplex~a-vendre~saint-faustin-lac-carre/24132329?view=Summary
58,,/fr/triplex~a-vendre~levis-desjardins/22615135?view=Summary
59,,/fr/duplex~a-vendre~saint-charles-borromee/11664928?view=Summary
60,,/fr/duplex~a-vendre~sainte-marguerite-du-lac-masson/22262993?view=Summary
61,,/fr/duplex~a-vendre~lachute/19395600?view=Summary
62,,/fr/quadruplex~a-vendre~montreal-ahuntsic-cartierville/11248033?view=Summary
